date,temperature_2m,precipitation,relative_humidity_2m,wind_speed_10m,wind_gusts_10m,surface_pressure
2026-01-06 00:00:00+00:00,-0.715,0.0,77.0,5.506941,11.159999,1015.1686
2026-01-06 01:00:00+00:00,-1.065,0.0,80.0,6.6185193,14.04,1015.9628
2026-01-06 02:00:00+00:00,-1.5150001,0.0,83.0,7.8625183,16.199999,1016.157
2026-01-06 03:00:00+00:00,-1.9649999,0.0,86.0,7.289444,15.4800005,1015.85315
2026-01-06 04:00:00+00:00,-2.2150002,0.0,87.0,7.0911775,15.119999,1015.45184
2026-01-06 05:00:00+00:00,-2.315,0.0,89.0,7.628263,15.4800005,1015.35077
2026-01-06 06:00:00+00:00,-2.315,0.0,91.0,8.089993,15.4800005,1015.25104
2026-01-06 07:00:00+00:00,-2.265,0.0,89.0,8.225035,18.0,1015.05225
2026-01-06 08:00:00+00:00,-2.165,0.0,88.0,8.373386,17.64,1015.4521
2026-01-06 09:00:00+00:00,-2.365,0.0,89.0,7.729527,17.28,1015.4499
2026-01-06 10:00:00+00:00,-1.7149999,0.0,84.0,8.854829,18.359999,1015.0584
2026-01-06 11:00:00+00:00,-0.715,0.0,80.0,8.669949,18.72,1014.5703
2026-01-06 12:00:00+00:00,-0.265,0.0,84.0,8.78872,18.72,1013.8774
2026-01-06 13:00:00+00:00,0.635,0.0,87.0,9.19939,19.44,1013.38837
2026-01-06 14:00:00+00:00,1.085,0.0,88.0,9.585739,20.16,1012.7948
2026-01-06 15:00:00+00:00,1.7349999,0.0,86.0,9.673221,19.44,1012.0038
2026-01-06 16:00:00+00:00,1.5350001,0.0,87.0,8.161764,19.8,1011.5033
2026-01-06 17:00:00+00:00,1.635,0.0,87.0,8.404285,17.28,1011.0057
2026-01-06 18:00:00+00:00,1.935,0.0,84.0,9.726664,20.16,1011.00885
2026-01-06 19:00:00+00:00,2.2849998,0.0,83.0,10.086427,20.519999,1009.7163
2026-01-06 20:00:00+00:00,2.835,0.0,79.0,11.592895,23.759998,1008.42566
2026-01-06 21:00:00+00:00,3.335,0.1,79.0,13.049689,24.119999,1007.334
2026-01-06 22:00:00+00:00,4.3849998,0.90000004,79.0,18.440998,37.8,1005.94855
2026-01-06 23:00:00+00:00,4.485,0.5,81.0,21.120682,43.92,1004.2547
